Natural Language,Ground Truth,Atomic Proposition,AST
"Whenever the Red light is on, it is off in the next state and on again in the state after that",G(x1 -> X(!x1) & X(X(x1))),"""Red light"" : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"The Red light is on in exactly one state, but not necessarily the first state",F(x1) & G(x1 -> X(G(!x1))),"""Red light"" : x1","LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
The Red light cannot stay on for three states in a row,G(x1 & X(x1) -> X(X(!x1))),"""Red light"" : x1","Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
"Whenever the Red light is on, the Blue light will be on then or at some point in the future",G(x1 -> x2 | F(x2)),"""Red light"" : x1, ""Blue"": x2","Always(LImplies(AtomicProposition(""x1""),LOr(AtomicProposition(""x2""),Eventually(AtomicProposition(""x2"")))))"
"The Red light is on for zero or more states, and then turns off and remains off in the future",F(!x1) & G(!x1 -> X(G(!x1))),"""Red light"" : x1","LAnd(Eventually(Not(AtomicProposition(""x1""))),Always(LImplies(Not(AtomicProposition(""x1"")),Next(Always(Not(AtomicProposition(""x1"")))))))"
"The robot has to go to the cafe on Main street, then stop by a bank, then go to McDonald’s, but only after visiting the bank",F (x1 & F (x2)) & F (x3 & (!x3 U x2)),"""Cafe"" : x1, ""bank"" : x2, ""McDonald's"" : x3","LAnd(Eventually(LAnd(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))),Eventually(LAnd(AtomicProposition(""x3""),Until(Not(AtomicProposition(""x3"")), AtomicProposition(""x2"")))))"
"if Red is initially lit, then it is also lit after three steps",x1 -> X(X(X(x1))),“red” : x1,"LImplies(AtomicProposition(""x1""),Next(Next(Next(AtomicProposition(""x1"")))))"
Blue is eventually lit and Red is always lit,(x1 U x2) & G(x1),"“red” : x1, “blue” : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(AtomicProposition(""x1"")))"
"whenever Red is lit, it turns off in the next state and on again in the state after that",G(x1 -> (X(!x1) & X(X(x1)))),“red” : x1,"Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
"If the engine is on, the engine will be on 3 states from now",x1 -> X(X(X(x1))),"""Engine on” : x1","LImplies(AtomicProposition(""x1""),Next(Next(Next(AtomicProposition(""x1"")))))"
"After two states have passed, eventually the Engine after these the next state will be on.",X(X(F(X(x1)))),"""Engine on” : x1","Next(Next(Eventually(Next(AtomicProposition(""x1"")))))"
"If the engine eventually turns on, then the light is always on.",(F(x1)) -> (G(x2)),"""Engine on” : x1, “blue"" : x2","LImplies(Eventually(AtomicProposition(""x1"")),Always(AtomicProposition(""x2"")))"
"the engine will be on until the light turns on, and the engine is always on",((x1) U (x2)) & G(x1),"""Engine on” : x1, ""Light on” : x2","LAnd(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Always(AtomicProposition(""x1"")))"
"If the engine is on, then in the next state the engine is not on and two states later it turns back on.",G(x1 -> (X(!x1 ) & X(X(x1)))),"""Engine on” : x1","Always(LImplies(AtomicProposition(""x1""),LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(AtomicProposition(""x1""))))))"
if eventually x2 and x1 is true then x1 is true until x2 happens to be true or in the next state x2 is true,F(x2 & x1) -> (x1 U x2) | (X(x2)),"x1 : x1 , x2 : x2","LImplies(Eventually(LAnd(AtomicProposition(""x2""),AtomicProposition(""x1""))),LOr(Until(AtomicProposition(""x1""), AtomicProposition(""x2"")),Next(AtomicProposition(""x2""))))"
if x1 is true then eventually it is always the case that in the next state x1 is true,x1 -> F(G(x1)),x1 : x1,"LImplies(AtomicProposition(""x1""),Eventually(Always(AtomicProposition(""x1""))))"
"if eventually x1,x2 and x3 is true then x4 is true and if it is not the case that eventually x1,x2 and x3 is true then x4 is false",((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),"x1 : x1 , x2 : x2, x3 : x3, x4: x4","LAnd(LImplies(LAnd(LAnd(Eventually(AtomicProposition(""x1"")),Eventually(AtomicProposition(""x2""))),Eventually(AtomicProposition(""x3""))),AtomicProposition(""x4"")),LImplies(LOr(LOr(Not(Eventually(AtomicProposition(""x1""))),Not(Eventually(AtomicProposition(""x2"")))),Not(Eventually(AtomicProposition(""x3"")))),Not(AtomicProposition(""x4""))))"
it is always the case that if x1 is false then x2 is false and if x2 is false then x1 is false. and eventually x1 and x2 are true,G(((!x1) -> (!x2)) & ((!x2)->(!x1))) & F(x1 & x2),"x1 : x1 , x2 : x2","LAnd(Always(LAnd(LImplies(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2""))),LImplies(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Eventually(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))"
in the next state if x1 is true then in the state after the next state after the next state x2 is true,X(x1)->X(X(X(x2))),"x1 : x1 , x2 : x2","LImplies(Next(AtomicProposition(""x1"")),Next(Next(Next(AtomicProposition(""x2"")))))"
it is always the case that x1 is true and x2 is false and if x1 is true x2 cannot be true in the same state then it is always the case that x2 is false,G(x1 & !x2),"x1 : x1 , x2 : x2","Always(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))))"
eventually it is always the case that x1 is true or it is always the case that eventually x1 is true,F(G(x1)) | G(F(x1)),x1 : x1,"LOr(Eventually(Always(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))"
if the state after the next state after the next state x1 is true then eventually x2 is false and x3 is true,X(X(X(x1))) -> (F(!x2) & x3),"x1 : x1 , x2 : x2, x3 : x3","LImplies(Next(Next(Next(AtomicProposition(""x1"")))),LAnd(Eventually(Not(AtomicProposition(""x2""))),AtomicProposition(""x3"")))"
it is always the case that x1 is true until x2 isn true and it is always the case that x1 and x2 are false,G(x1 U x2) & G(!(x1 & x2)),"x1 : x1 , x2 : x2","LAnd(Always(Until(AtomicProposition(""x1""), AtomicProposition(""x2""))),Always(Not(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2"")))))"
it is always the caswe that x1 is true and it is always the caswe that x1 is false,G(x1) & G(!x1),x1 : x1,"LAnd(Always(AtomicProposition(""x1"")),Always(Not(AtomicProposition(""x1""))))"
