Natural Language,Atomic Proposition,Ground Truth,AST
"If two consecutive login attempts occur, resource access is eventually granted.","login_attempt_detected: q, resource_access_granted: r",G((q&X(q))->F(r)),"LImplies(Next(Next(AtomicProposition(""q""))),Eventually(AtomicProposition(""r"")))"
"If permanent authorization holds, temporary access eventually occurs.","permanent_authorization_valid: p, temporary_access_granted: t",(p -> F(t)),"LImplies(AtomicProposition(""p""),Eventually(AtomicProposition(""t"")))"
"Whenever credential validation aligns with session renewal timing, weak authentication matches next-step revocation until unauthorized queries trigger notification.","valid_credentials_presented: v, session_renewal_initiated: s, access_revoked: r, weak_authentication_used: w, unauthorized_query_detected: q, user_notified: u",((F(v)<->F(s))->(w<->X(r)))U(q->u),"Always(Until(LImplies(LEquiv(Eventually(AtomicProposition(""v"")),Eventually(AtomicProposition(""s""))),LEquiv(AtomicProposition(""w""),Next(AtomicProposition(""r"")))), LImplies(AtomicProposition(""q""),AtomicProposition(""u""))))"
"If unauthorized queries trigger notification globally, weak authentication remains disabled until credentials hold and failed renewal leads to temporary lock.","valid_credentials_presented: v, session_renewal_initiated: s, weak_authentication_used: w, unauthorized_query_detected: q, user_notified: u, temporary_lock_active: t",G(q->u)&(!wU(v&(s->X(t)))),"LImplies(Always(LImplies(AtomicProposition(""q""),AtomicProposition(""u""))),Until(Not(AtomicProposition(""w"")), LAnd(AtomicProposition(""v""),LImplies(AtomicProposition(""s""),Next(AtomicProposition(""t""))))))"
Either authentication success stabilizes pending requests or privilege escalation persists until weak authentication stops.,"authentication_successful: u, access_request_pending: q, weak_authentication_detected: w, privilege_escalation_initiated: p",(F(u)&F(G(q)))|(p&(qU!w)),"LOr(LAnd(Eventually(AtomicProposition(""u"")),Until(AtomicProposition(""q""), Always(AtomicProposition(""q"")))),LAnd(AtomicProposition(""p""),Until(AtomicProposition(""q""), Not(AtomicProposition(""w"")))))"
"If access granted matches token validation persisting without password and re-authentication equivalence, policy violation occurs.","token_validation_attempt: t, session_active: s, reauthentication_required: r, password_change_pending: p, warning_issued: w, access_granted: u, policy_violation: q",((u<->t)&G(!p)&G(p<->r))->q,"LImplies(LEquiv(AtomicProposition(""u""),LAnd(AtomicProposition(""t""),Not(Always(LEquiv(AtomicProposition(""p""),AtomicProposition(""r"")))))),AtomicProposition(""q""))"
Policy enforcement persists until temporary lock occurs or password reset does not eventually occur.,"temporary_lock_active: t, password_reset_started: p, policy_enforced: r",rU(t|!F(p)),"Always(Until(AtomicProposition(""r""), LOr(AtomicProposition(""t""),Not(Eventually(AtomicProposition(""p""))))))"
Weak encryption remains active and unauthorized access does not occur when scans progress until expiry or persistent encryption holds.,"weak_encryption_detected: w, vulnerability_scan_active: v, token_expired: t, unauthorized_access_detected: q",((X(w)U!v)U(t|F(w)))&G(!q&w),"LImplies(Until(Until(Next(AtomicProposition(""w"")), Not(AtomicProposition(""v""))), LOr(AtomicProposition(""t""),Eventually(AtomicProposition(""w"")))),LAnd(Not(AtomicProposition(""q"")),AtomicProposition(""w"")))"
"If secure sessions never eventually occur, re-authentication always holds.","secure_session_established: s, reauthentication_required: r",(!(F(s)) -> G(r)),"LImplies(Not(Eventually(AtomicProposition(""s""))),Always(AtomicProposition(""r"")))"
"If alert occurs next, user access persists until two-factor trigger or vulnerability detection occurs.","security_alert_triggered: s, user_access_granted: u, two_factor_triggered: t, vulnerability_detected: v",X(s) -> (u U (t | v)),"LImplies(Next(AtomicProposition(""s"")),Until(AtomicProposition(""u""), LOr(AtomicProposition(""t""),AtomicProposition(""v""))))"
"After next authentication attempt, valid authentication persists until authorization queries stabilize.","valid_authentication_attempt: v, authorization_query: q",X(u)->(vUG(q)),"LImplies(Next(AtomicProposition(""v"")),Until(AtomicProposition(""v""), Always(AtomicProposition(""q""))))"
Eventually a secure session holds and valid tokens always prevent reauthentication.,"secure_session_established: s, reauthentication_required: r, valid_token_present: v",F(s)&G(v->!r),"Eventually(LAnd(AtomicProposition(""s""),Always(LImplies(AtomicProposition(""v""),Not(AtomicProposition(""r""))))))"
"If weak authentication success eventually triggers password reset, then vulnerability presence or persistent audits or policy compliance must hold.","successful_authentication: s, weak_authentication_attempt: w, password_reset_required: p, vulnerability_present: v, audit_completed: r, policy_compliant: q",F(s&w->F(p))->(v|G(r)|G(q)),"LImplies(LImplies(Eventually(LAnd(AtomicProposition(""s""),AtomicProposition(""w""))),Eventually(AtomicProposition(""p""))),LOr(LOr(AtomicProposition(""v""),Always(AtomicProposition(""r""))),Always(AtomicProposition(""q""))))"
Authentication continues until permission holds and lockout or queued access eventually leads to temporary access.,"user_authenticated: w, permission_granted: p, lockout_triggered: s, temporary_access_granted: t, access_request_queued: q",(w U p) & ((s | q) -> F(t)),"LAnd(Until(AtomicProposition(""w""), AtomicProposition(""p"")),LImplies(LOr(AtomicProposition(""s""),AtomicProposition(""q"")),Eventually(AtomicProposition(""t""))))"
In the next state authentication holds exactly when admin override holds or valid credentials persist until lockdown occurs.,"user_authenticated: p, valid_credentials: v, admin_override_active: u, lockdown_triggered: t",X((p <-> (u | (v U t)))),"Next(LEquiv(AtomicProposition(""p""),LOr(AtomicProposition(""u""),Until(AtomicProposition(""v""), AtomicProposition(""t"")))))"
Authentication always prevents unauthorized access and quarantine eventually occurs.,"user_authenticated: p, unauthorized_access_detected: u, quarantine_active: q",(G((p -> !(u))) & F(q)),"LAnd(Always(LImplies(AtomicProposition(""p""),Not(AtomicProposition(""u"")))),Eventually(AtomicProposition(""q"")))"
Warnings eventually occur and authentication persists until lock occurs.,"authentication_successful: s, temporary_lock_triggered: t, warning_displayed: w",(F(w) & (s U t)),"LAnd(Eventually(AtomicProposition(""w"")),Until(AtomicProposition(""s""), AtomicProposition(""t"")))"
Sessions remain inactive until permission holds or authentication matches validation state.,"session_active: u, authentication_required: q, permission_granted: p, validation_pending: v",!u U (p | (q <-> v)),"Until(Not(AtomicProposition(""u"")), LOr(AtomicProposition(""p""),LEquiv(AtomicProposition(""q""),AtomicProposition(""v""))))"
Authentication with validated credentials persists until session termination or future requests occur.,"authentication_successful: p, access_request: q, credentials_validated: v, session_terminated: u","(p|v)U(u|F(q))
","Until(Always(LImplies(AtomicProposition(""p""),AtomicProposition(""v""))), LOr(AtomicProposition(""u""),Eventually(AtomicProposition(""q""))))"
Token validation persists until authentication holds and warnings persist globally.,"token_validation_active: t, user_authenticated: u, warning_active: w","tU(u&G(w))

","Until(AtomicProposition(""t""), LAnd(AtomicProposition(""u""),Always(AtomicProposition(""w""))))"
Reauthentication equivalence with valid sessions persists until privileged access requires multi-factor completion.,"reauthentication_required: r, valid_session_token: v, privileged_access_requested: p, multi_factor_completed: q",(r <-> v) U (p -> q),"Until(LEquiv(AtomicProposition(""r""),AtomicProposition(""v"")), LImplies(AtomicProposition(""p""),AtomicProposition(""q"")))"
Valid credentials or inactive sessions persist until intrusion detection eventually occurs.,"credentials_valid: v, secure_session_active: s, intrusion_detected: u",(v | !s) U u,"Until(LOr(AtomicProposition(""v""),Not(AtomicProposition(""s""))), Eventually(AtomicProposition(""u"")))"
Authenticated requests persist until access holds and quarantine eventually occurs.,"user_authenticated: u, access_granted: w, quarantine_triggered: q","(uUw)&F(q)
","Until(Until(AtomicProposition(""u""), AtomicProposition(""w"")), Eventually(AtomicProposition(""q"")))"
"After an authentication attempt, warnings or lockouts persist until privilege escalation eventually occurs.","user_authentication_attempt: u, warning_displayed: w, system_lockout: s, privilege_escalation_detected: p",X(u)->((w|s)Up),"Until(Until(Next(AtomicProposition(""u"")), LOr(AtomicProposition(""w""),AtomicProposition(""s""))), AtomicProposition(""p""))"
"Authentication attempts occur infinitely often exactly when temporary access or weak credentials imply reauthentication, while lockdown never occurs.","authentication_attempt: u, temporary_access_granted: t, weak_credentials_detected: w, reauthentication_required: r, lockdown_triggered: s",G(F(u))<->(t|(w&F(r)))&G(!s),"LAnd(LEquiv(Always(Eventually(AtomicProposition(""u""))),LOr(AtomicProposition(""t""),LImplies(AtomicProposition(""w""),Eventually(AtomicProposition(""r""))))),Always(Not(AtomicProposition(""s""))))"
Access persists until valid tokens exist and authentication eventually becomes permanently enforced.,"authentication_active: w, access_granted: u, valid_token_present: q",(uUq)&F(G(w)),"Until(Until(AtomicProposition(""u""), AtomicProposition(""q"")), Always(AtomicProposition(""w"")))"
Privilege escalation is blocked until authentication succeeds and temporary access always implies eventual authentication.,"privilege_escalation_attempt: p, authentication_successful: w, temporary_access_granted: t",(G(!p)Uw)&G(t->F(w)),"LAnd(Until(Always(Not(AtomicProposition(""p""))), AtomicProposition(""w"")),Always(LImplies(AtomicProposition(""t""),Eventually(AtomicProposition(""w"")))))"
"Whenever a session starts, valid credentials persist until two-factor authentication activates.","session_started: s, credentials_valid: q, two_factor_active: t",G(s->(qUt)),"LImplies(AtomicProposition(""s""),Until(AtomicProposition(""q""), AtomicProposition(""t"")))"
Authentication with valid roles persists until permissions are enforced.,"user_authenticated: u, role_valid: r, permission_enforced: p",(u&r)Up,"Until(LAnd(AtomicProposition(""u""),AtomicProposition(""r"")), AtomicProposition(""p""))"
Authentication attempts persist until security questions or password reset eventually lead to temporary access.,"authentication_attempt: u, security_question_required: q, password_reset_requested: p, temporary_access_granted: t",X(u)U(q|p)&F(t),"Until(Next(AtomicProposition(""u"")), LImplies(LOr(AtomicProposition(""q""),AtomicProposition(""p"")),Eventually(AtomicProposition(""t""))))"
Credential renewal persists until valid credentials exist and lockout does not occur.,"credential_renewal_started: r, lockout_triggered: s, valid_credentials_present: p",rU(p&!s),"LImplies(Until(AtomicProposition(""r""), AtomicProposition(""p"")),Not(AtomicProposition(""s"")))"
"If validation occurs next, privilege escalation eventually occurs.","validation_occurs: v, privilege_escalation_detected: p",X(v)->F(p),"Next(LImplies(AtomicProposition(""v""),Eventually(AtomicProposition(""p""))))"
"If a session starts and a valid token eventually exists, temporary access or failed permission check must occur.","session_started: s, valid_token_present: w, temporary_access_granted: t, permission_check_passed: p",(s&F(w))->(t|X(!p)),"LImplies(AtomicProposition(""s""),LImplies(Eventually(AtomicProposition(""w"")),LOr(AtomicProposition(""t""),Next(Not(AtomicProposition(""p""))))))"
Temporary sessions persist until valid credentials occur and eventually re-authentication or logout occurs.,"reauthentication_required: r, temporary_session_active: t, valid_credentials_present: v, user_logout: u",tU(v&F(r|u)),"Until(Until(AtomicProposition(""t""), AtomicProposition(""v"")), LOr(AtomicProposition(""r""),AtomicProposition(""u"")))"
"If sessions or re-authentication requirements hold, warnings persist until privilege escalation occurs.","session_active: s, reauthentication_required: r, warning_issued: w, privilege_escalation_attempt: p",(s | r) -> (w U p),"LImplies(LOr(AtomicProposition(""s""),AtomicProposition(""r"")),Until(AtomicProposition(""w""), AtomicProposition(""p"")))"
Requests with valid verification persist until lockdown eventually occurs.,"user_request: q, verification_successful: v, lockdown_active: s",(q & v) U s,"Until(LAnd(AtomicProposition(""q""),AtomicProposition(""v"")), AtomicProposition(""s""))"
Verification and permission granting persist until secure sessions hold indefinitely.,"authentication_request: q, permission_granted: p, verification_successful: v, secure_session_active: s",(v&p)UG(s),"Until(LAnd(AtomicProposition(""v""),Until(AtomicProposition(""q""), AtomicProposition(""p""))), AtomicProposition(""s""))"
"If authentication occurs next, violation conditions persist until re-authentication occurs.","authentication_granted: p, violation_detected: v, reauthentication_required: r",X(p) -> (v U r),"LImplies(Next(AtomicProposition(""p"")),Until(AtomicProposition(""v""), AtomicProposition(""r"")))"
Valid sessions persist until access eventually occurs or re-authentication eventually occurs.,"valid_session_exists: v, access_granted: p, reauthentication_required: r",(v U p) | F(r),"LOr(Until(AtomicProposition(""v""), AtomicProposition(""p"")),Eventually(AtomicProposition(""r"")))"
"If emergency maintenance is not active, authentication attempts eventually lead to credential verification.","authentication_attempt: p, credentials_verified: q, maintenance_mode: s",!s->F(p->F(q)),"Next(LOr(AtomicProposition(""s""),LImplies(AtomicProposition(""p""),Eventually(AtomicProposition(""q"")))))"
Sessions remain inactive until re-authentication occurs or secure sessions persist.,"reauthentication_required: u, secure_session_active: r",!rU(u|G(r)),"LOr(Until(Not(AtomicProposition(""r"")), AtomicProposition(""u"")),Always(AtomicProposition(""r"")))"
Authentication attempts eventually lead to successful password verification.,"authentication_initiated: u, password_verified: p",G(u->F(p)),"LImplies(Eventually(AtomicProposition(""u"")),Eventually(AtomicProposition(""p"")))"
Valid authentication implies warnings persist until reset or re-authentication occurs.,"authentication_valid: v, warning_issued: w, system_reset: r, user_reauthenticated: u",G(v->(wU(r|u))),"Until(Always(LImplies(AtomicProposition(""v""),AtomicProposition(""w""))), LOr(AtomicProposition(""r""),AtomicProposition(""u"")))"
Privileged sessions persist until suspicious activity eventually occurs.,"user_reauthenticated: u, suspicious_activity_logged: s",(p U s),"Until(AtomicProposition(""p""), AtomicProposition(""s""))"
Temporary access transitioning to quarantine eventually restores secure sessions.,"secure_session_active: s, temporary_access_granted: t, quarantine_active: q",(t U q) -> F(s),"LImplies(Until(AtomicProposition(""t""), AtomicProposition(""q"")),Eventually(AtomicProposition(""s"")))"
Authentication persists until policy change or lockdown eventually occurs.,"authentication_active: r, policy_change: q, lockdown_active: s",r U (q | s),"Until(AtomicProposition(""r""), LOr(AtomicProposition(""q""),AtomicProposition(""s"")))"
