Natural Language,Ground truth,gpt_4o_mini,gpt_4,claude_3
x1 is true in exactly one state.,F(x1) & G(x1 -> !X(F(x1))),F x1 & G (x1 -> !(X x1)) ,F(x1 & (G(!x1 U (x1 & G(!x1))))),F(x1) & G(x1 -> X(!x1 U !x1))
it is always the case that in the next state x1 is true if and only if x2 is true if and only if in the next state x2 is false.,G(X(x1) <-> (x2 <-> X(!x2))),G (X x1 <-> (x2 <-> X !x2)),G ((X x1 <-> x2) <-> X !x2),G((X(x1) <-> X(!x2)) & (X(x1) <-> x2))
"x2 is always true, whereas x1 is only sometimes true.",G(x2)&!G(x1),G x2 & F x1,G(x2) & F(x1),G(x2) & F(x1)
"If x1 is true, then x2 must have just transitioned from true to false.",G(X(x1) -> (x2 & !X(x2))),G(x1 -> X(!x2 & Xx2)),x1 -> (X(x2) & !X(x2)),x1 -> (!x2 & X(!x2 U (x2 & !X x2)))
"x1 will never be true or it'll keep being true, at least occasionally, forever",G(!x1) | G(F(x1)),G(!x1 | F(x1)),!G(x1) | GF(x1),G(!x1 | GFx1)
"Whenever Red, it is off in the next state and on again in the state after that.",G(x1-> X(!x1) & X X(x1)),G (Red -> (X !x1 & X X x1)),G(x1 -> (X!x2 & XXx3)),G(x1 -> (!x2 & X(!x2 & X(x2))))
E now implies E in 3 steps,x1 -> X(X(X(x1))),E -> X(X(X(E))),x1 -> X(X(X(x1))),x1 -> X(X(X(x1)))
There are at least two states in which the Blue light is on,F(x1 & X(F(x1))),F (x1 & X(x1)),F x1 & F x2,F(x1 & X(F(x1)))
"Blue on in 1, off in 2, alts evermore",x1 & G(x1 -> X(!x1 & X(x1))),G(x1 & X!x1 U (X(x2 & X!x2))),G((X x1) & (X X !x1) & (X !x1 U (!x1 & X x1))),(x1 & X!x1 & GF(!x1 & Xx1))
Red is on exactly once.,!x1 U (x1 & G(!X(x1))),G (x1 -> (F (!x1 U (!x1)))) & G (!x1 -> (F (x1 U (!x1)))),F x1 & G ((x1 -> ! X x1) & (! x1 -> X (! x1 U x1))),!(F(G(!x1)) & F(G(x1))) & F(x1) & F(G(!x1))
"always r, eventually b",(x1 U x2) & G(x1),G x1 & F x2,G(x1) & F(x2),G(x1) & F(x2)
"if red, must have !red in future",x1 -> F(!x1),red -> F!red,x1 -> F(!x1),x1 -> F(!x1)
